"results_index","cluster","mean_acceptance"
1,"1",0.3
2,"2",0.6
3,"1",0.4
4,"1",0.2
5,"2",0.7
6,"1",0.2
7,"1",0.3
8,"2",0.7
9,"2",0.7
10,"2",0.8
11,"2",0.5
12,"1",0.1
13,"2",1
14,"1",0
15,"1",0.3
16,"2",0.6
17,"1",0.2
18,"2",0.7
19,"2",1
20,"1",0.4
21,"1",0.3
23,"2",0.9
24,"2",0.6
25,"2",0.888888888888889
26,"2",0.5
27,"1",0.4
28,"1",0.4
29,"1",0.2
30,"2",0.8
31,"1",0.1
32,"2",0.9
33,"1",0
34,"2",0.6
35,"1",0.3
36,"2",0.6
37,"2",0.6
38,"1",0.1
39,"1",0.4
40,"2",0.777777777777778
41,"1",0.4
42,"1",0.2
43,"2",0.5
45,"1",0.1
46,"2",0.7
47,"1",0.2
48,"1",0
49,"1",0.333333333333333
50,"1",0.2
51,"1",0.2
52,"2",0.9
53,"1",0.444444444444444
54,"2",0.7
55,"1",0.1
56,"1",0.1
57,"1",0.2
58,"2",1
59,"1",0
60,"1",0.3
61,"1",0.1
62,"1",0.1
63,"1",0.1
64,"1",0.3
65,"1",0.2
66,"2",0.8
67,"2",0.5
68,"1",0.1
69,"1",0.4
70,"1",0.1
72,"1",0
73,"2",0.5
74,"2",0.8
75,"1",0.2
76,"2",0.7
77,"2",0.888888888888889
78,"2",0.8
79,"1",0.4
80,"1",0.3
81,"1",0.1
82,"2",0.555555555555556
83,"1",0
84,"2",0.777777777777778
85,"1",0.1
86,"2",0.9
87,"1",0.3
88,"2",0.8
89,"1",0.2
90,"2",0.5
91,"1",0.2
92,"2",0.6
94,"1",0.3
95,"1",0.4
96,"2",0.9
97,"2",1
98,"2",0.6
99,"1",0.4
100,"2",0.5
101,"1",0.1
102,"1",0.1
103,"1",0.1
104,"1",0.3
105,"2",0.888888888888889
106,"1",0
107,"2",0.5
108,"2",0.9
109,"1",0.3
110,"2",0.8
111,"1",0.3
112,"1",0.2
113,"2",0.5
114,"1",0
115,"2",0.6
116,"2",0.9
117,"2",0.5
118,"2",0.6
119,"2",0.9
120,"1",0.1
121,"1",0
122,"2",0.7
123,"1",0.125
124,"2",0.5
125,"2",0.6
126,"1",0.3
127,"1",0.2
128,"1",0.333333333333333
129,"1",0.3
130,"1",0.3
131,"1",0.1
132,"1",0.3
133,"1",0
134,"1",0.4
135,"2",0.666666666666667
136,"1",0.1
137,"1",0.4
138,"1",0
139,"1",0.4
140,"2",0.5
141,"1",0.1
142,"1",0.1
143,"2",0.6
144,"1",0.2
145,"1",0.2
147,"1",0.3
148,"2",0.7
149,"1",0.1
150,"1",0.222222222222222
151,"1",0.1
152,"1",0
153,"1",0.4
155,"1",0.2
156,"1",0.333333333333333
157,"1",0
158,"1",0.3
159,"1",0.3
160,"1",0.2
161,"1",0.4
162,"2",1
164,"1",0.3
165,"1",0.1
166,"1",0
167,"2",0.7
168,"1",0.4
169,"1",0.3
170,"1",0.3
171,"1",0.111111111111111
172,"1",0
173,"1",0.3
