"results_index","acceptance_rate","n_trials"
1,0.3,10
2,0.6,10
3,0.4,10
4,0.2,10
5,0.7,10
6,0.2,10
7,0.3,10
8,0.7,10
9,0.7,10
10,0.8,10
11,0.5,10
12,0.1,10
13,1,10
14,0,10
15,0.3,10
16,0.6,10
17,0.2,10
18,0.7,10
19,1,10
20,0.4,10
21,0.3,10
23,0.9,10
24,0.6,10
25,0.888888888888889,9
26,0.5,10
27,0.4,10
28,0.4,10
29,0.2,10
30,0.8,10
31,0.1,10
32,0.9,10
33,0,9
34,0.6,10
35,0.3,10
36,0.6,10
37,0.6,10
38,0.1,10
39,0.4,10
40,0.777777777777778,9
41,0.4,10
42,0.2,10
43,0.5,10
45,0.1,10
46,0.7,10
47,0.2,10
48,0,9
49,0.333333333333333,9
50,0.2,10
51,0.2,10
52,0.9,10
53,0.444444444444444,9
54,0.7,10
55,0.1,10
56,0.1,10
57,0.2,10
58,1,10
59,0,9
60,0.3,10
61,0.1,10
62,0.1,10
63,0.1,10
64,0.3,10
65,0.2,10
66,0.8,10
67,0.5,10
68,0.1,10
69,0.4,10
70,0.1,10
72,0,10
73,0.5,10
74,0.8,10
75,0.2,10
76,0.7,10
77,0.888888888888889,9
78,0.8,10
79,0.4,10
80,0.3,10
81,0.1,10
82,0.555555555555556,9
83,0,10
84,0.777777777777778,9
85,0.1,10
86,0.9,10
87,0.3,10
88,0.8,10
89,0.2,10
90,0.5,10
91,0.2,10
92,0.6,10
94,0.3,10
95,0.4,10
96,0.9,10
97,1,9
98,0.6,10
99,0.4,10
100,0.5,10
101,0.1,10
102,0.1,10
103,0.1,10
104,0.3,10
105,0.888888888888889,9
106,0,10
107,0.5,10
108,0.9,10
109,0.3,10
110,0.8,10
111,0.3,10
112,0.2,10
113,0.5,10
114,0,10
115,0.6,10
116,0.9,10
117,0.5,10
118,0.6,10
119,0.9,10
120,0.1,10
121,0,9
122,0.7,10
123,0.125,8
124,0.5,10
125,0.6,10
126,0.3,10
127,0.2,10
128,0.333333333333333,9
129,0.3,10
130,0.3,10
131,0.1,10
132,0.3,10
133,0,10
134,0.4,10
135,0.666666666666667,9
136,0.1,10
137,0.4,10
138,0,10
139,0.4,10
140,0.5,10
141,0.1,10
142,0.1,10
143,0.6,10
144,0.2,10
145,0.2,10
147,0.3,10
148,0.7,10
149,0.1,10
150,0.222222222222222,9
151,0.1,10
152,0,10
153,0.4,10
155,0.2,10
156,0.333333333333333,9
157,0,10
158,0.3,10
159,0.3,10
160,0.2,10
161,0.4,10
162,1,9
164,0.3,10
165,0.1,10
166,0,10
167,0.7,10
168,0.4,10
169,0.3,10
170,0.3,10
171,0.111111111111111,9
172,0,10
173,0.3,10
